Address,Type,Year built,Total rental units,Primary market units,Residential standards violations issued (2020-2022),Building permits issued (2020-2022),Building permit work types,Building permit issue years,Assessment history,Sales history,Census tract,Forward sortation area,Rental Market Survey zone,Municipality
"10 Harlington Crescent, Halifax",Primary market,1978,26,26,,,,,"2023: $2,883,700; 2022: $2,395,000; 2021: $1,982,100; 2020: $1,934,100; 2019: $1,908,100",,2050025.03 (2006-2020); 2050025.04 (2021-2022),B3M,Mainland North,Halifax
"10 Horizon Crt, Dartmouth",Primary market,2007,150,150,,,,,"2023: $20,908,100; 2022: $18,847,600; 2021: $18,214,800; 2020: $18,616,300; 2019: $17,754,300",,2050108.00,B3A,Dartmouth North,Halifax
"10 Joseph Young St, Dartmouth",Primary market,1990,32,32,,,,,"2023: $4,067,100; 2022: $3,836,300; 2021: $3,965,300; 2020: $3,184,800; 2019: $3,122,300",,2050114.00,B3A,Dartmouth North,Halifax
"10 Kennedy Dr, Dartmouth",Primary market,1965,11,11,,,,,"2023: $682,500; 2022: $569,800; 2021: $459,800; 2020: $300,900; 2019: $674,600",,2050106.01,B2X,Dartmouth East,Halifax
"10 Lawrence St, Dartmouth",Primary market,1965,41,41,,,,,"2023: $2,836,500; 2022: $2,686,200; 2021: $2,364,700; 2020: $1,978,200; 2019: $1,886,600","2020: $3,850,000 (3 parcels in sale)",2050103.00,B2Y,Dartmouth South,Halifax
"10 Legacy Crt, Lower Sackville",Primary market,2014,32,32,,,,,"2023: $4,972,100; 2022: $4,696,000; 2021: $4,692,000; 2020: $4,530,700; 2019: $4,543,800",,2050131.04,B4C,Sackville,Halifax
"10 McFatridge Rd, Halifax",Primary market,1970,4,4,,,,,"2023: $764,400; 2022: $393,600; 2021: $340,300; 2020: $330,100; 2019: $321,900","2021: $800,000 (1 parcel in sale)",2050024.00,B3N,Mainland North,Halifax
"10 Mitchell St, Dartmouth",Primary market,1960,12,12,,,,,"2023: $912,100; 2022: $831,000; 2021: $790,900; 2020: $697,600; 2019: $636,000",,2050111.00,B3A,Dartmouth North,Halifax
"10 Nelsons Landing Blvd, Bedford",Primary market,1995,29,29,,,,,"2023: $3,004,500; 2022: $2,770,800; 2021: $2,705,900; 2020: $2,455,000; 2019: $2,348,900",,2050123.04 (2006-2020); 2050123.07 (2021-2022),B4A,Bedford,Halifax
"10 Nivens Ave, Dartmouth",Primary market,1960,6,6,,,,,"2023: $478,800; 2022: $452,900; 2021: $411,700; 2020: $328,100; 2019: $334,900","2020: $1,897,800 (7 parcels in sale)",2050112.00,B3A,Dartmouth North,Halifax
"10 Portland St, Dartmouth",Primary market,2000,13,13,,,,,"2023: $2,467,000; 2022: $2,163,600; 2021: $2,133,100; 2020: $2,050,700; 2019: $1,956,400",,2050102.00,B2Y,Dartmouth South,Halifax
"10 Randall Ave, Halifax",Primary market,1961,4,4,,,,,"2023: $355,800; 2022: $330,900; 2021: $314,300; 2020: $304,000; 2019: $298,400",2019: $0 (1 parcel in sale),2050025.01,B3M,Mainland North,Halifax
"10 Regency Dr, Dartmouth",Primary market,1971,6,6,,,,,"2023: $468,600; 2022: $455,200; 2021: $419,800; 2020: $379,100; 2019: $392,900","2021: $470,000 (1 parcel in sale)",2050101.00,B2Y,Dartmouth South,Halifax
"10 Rosedale Dr, Dartmouth",Primary market,1965,8,8,,,,,"2023: $674,800; 2022: $620,900; 2021: $552,400; 2020: $523,500; 2019: $526,500",,2050111.00,B3A,Dartmouth North,Halifax
"10 Springhill Rd, Dartmouth",Primary market,1975,13,13,,,,,"2023: $831,700; 2022: $700,500; 2021: $699,500; 2020: $607,200; 2019: $635,800",,2050112.00,B3A,Dartmouth North,Halifax
"10 Sybyl Crt, Halifax",Primary market,1969,22,22,,,,,"2023: $2,012,400; 2022: $1,726,700; 2021: $1,433,300; 2020: $1,363,700; 2019: $1,300,800",,2050025.01,B3M,Mainland North,Halifax
"10 Tamarack Dr, Halifax",Primary market,1993,68,68,,,,,"2023: $10,314,900; 2022: $8,102,700; 2021: $7,895,000; 2020: $7,343,400; 2019: $7,213,000",,2050015.00,B3N,Mainland South,Halifax
"10 Vimy Ave, Halifax",Primary market,1982,12,12,1,,,,"2023: $1,001,700; 2022: $1,010,900; 2021: $1,010,100; 2020: $869,100; 2019: $883,900",,2050025.02,B3M,Mainland North,Halifax
"10 Wentworth St, Dartmouth",Primary market,1965,13,13,,,,,"2023: $713,000; 2022: $669,100; 2021: $667,000; 2020: $626,800; 2019: $620,400",,2050102.00,B2Y,Dartmouth South,Halifax
"100 Camelot Lane, Halifax",Primary market,1986,46,46,,,,,"2023: $5,437,200; 2022: $4,798,200; 2021: $4,349,900; 2020: $3,742,300; 2019: $3,645,400",,2050026.02,B3M,Mainland North,Halifax
"100 King St, Dartmouth",Primary market,1940,4,4,,,,,"2023: $419,500; 2022: $379,700; 2021: $351,800; 2020: $304,300; 2019: $299,500",,2050110.00,B2Y,Dartmouth North,Halifax
"100 Lincoln Crossing, Halifax",Primary market,1981,57,57,,,,,"2023: $6,633,400; 2022: $5,839,000; 2021: $5,284,200; 2020: $5,221,100; 2019: $4,687,000",,2050025.02,B3M,Mainland North,Halifax
"100 Pinecrest Dr, Dartmouth",Primary market,1966,12,12,,,,,"2023: $646,000; 2022: $653,400; 2021: $646,500; 2020: $535,700; 2019: $538,800","2019: $685,000 (1 parcel in sale)",2050114.00,B3A,Dartmouth North,Halifax
"100 Royale Blvd, Dartmouth",Primary market,2011,81,81,,,,,"2023: $18,573,700; 2022: $18,778,900; 2021: $17,769,900; 2020: $18,408,800; 2019: $17,204,000",,2050100.00,B2W,Dartmouth South,Halifax
"100 Walker Ave, Lower Sackville",Primary market,1993,28,28,,,,,"2023: $3,007,900; 2022: $2,817,300; 2021: $2,810,400; 2020: $2,430,000; 2019: $2,311,300",2020: $184 (4 parcels in sale),2050131.03,B4C,Sackville,Halifax
"1000 Micmac Blvd, Dartmouth",Primary market,1979,130,130,,,,,"2023: $17,048,400; 2022: $15,470,900; 2021: $14,021,600; 2020: $12,467,100; 2019: $11,548,400",,2050108.00,B3A,Dartmouth North,Halifax
"101 Albro Lake Rd, Dartmouth",Primary market,1987,24,24,,,,,"2023: $1,431,500; 2022: $1,436,900; 2021: $1,285,200; 2020: $1,065,600; 2019: $1,072,100",,2050114.00,B3A,Dartmouth North,Halifax
"101 Crown Dr, Halifax",Primary market,1970,6,6,,,,,"2023: $803,200; 2022: $607,900; 2021: $577,600; 2020: $559,500; 2019: $542,300",,2050017.00,B3N,Mainland North,Halifax
"101 Ochterloney St, Dartmouth",Primary market,2019,52,52,,,,,"2023: $14,333,900; 2022: $13,293,400; 2021: $13,040,900; 2020: $13,076,500; 2019: $6,084,000",,2050110.00,B2Y,Dartmouth North,Halifax
"1015 Barrington St, Halifax",Primary market,2002,116,116,,,,,"2023: $27,346,900; 2022: $24,675,800; 2021: $23,773,700; 2020: $22,370,900; 2019: $19,867,500",,2050004.01,B3H (2006-2015); B3J (2016-2022),Peninsula South,Halifax
"102 Newcastle St, Dartmouth",Primary market,1965,13,13,,,,,"2023: $1,409,500; 2022: $1,275,400; 2021: $1,211,800; 2020: $1,018,800; 2019: $1,015,500",,2050101.00,B2Y,Dartmouth South,Halifax
"1023 Bland St, Halifax",Primary market,,4,4,,,,,"2023: $586,900; 2022: $542,900; 2021: $500,800; 2020: $452,200; 2019: $447,900",,2050004.02,B3H,Peninsula South,Halifax
"1027 Lucknow St, Halifax",Primary market,1956,20,20,,,,,"2023: $2,549,900; 2022: $2,277,000; 2021: $2,069,300; 2020: $2,001,400; 2019: $1,806,400",,2050004.02,B3H,Peninsula South,Halifax
"103 Alabaster Way, Halifax",Primary market,2014,48,48,,,,,"2023: $8,484,600; 2022: $8,201,500; 2021: $8,066,100; 2020: $8,042,000; 2019: $8,026,200",,2050002.00,B3P,Mainland South,Halifax
"103 Kearney Lake Rd, Halifax",Primary market,1997,12,12,,,,,"2023: $2,054,400; 2022: $1,847,800; 2021: $1,689,000; 2020: $1,622,700; 2019: $1,616,100",,2050027.00,B3M,Mainland North,Halifax
"103 Pinecrest Dr, Dartmouth",Primary market,1966,6,6,,,,,"2023: $458,900; 2022: $431,200; 2021: $395,100; 2020: $339,400; 2019: $314,000",,2050114.00,B3A,Dartmouth North,Halifax
"1030 S Park St, Halifax",Primary market,1978,251,251,,3,Renovation,2022,"2023: $40,148,100; 2022: $35,368,800; 2021: $29,648,200; 2020: $28,306,600; 2019: $27,269,200",,2050004.02,B3H,Peninsula South,Halifax
"1037 Lucknow St, Halifax",Primary market,1956,21,21,,,,,"2023: $2,558,700; 2022: $2,294,600; 2021: $2,081,500; 2020: $2,034,300; 2019: $1,862,300",,2050004.02,B3H,Peninsula South,Halifax
"104 Albro Lake Rd, Dartmouth",Primary market,1962,25,25,,,,,"2023: $1,707,900; 2022: $1,641,000; 2021: $1,430,100; 2020: $1,238,100; 2019: $1,252,600",,2050109.00,B3A,Dartmouth North,Halifax
"104 King St, Dartmouth",Primary market,1907,12,12,,,,,"2023: $1,084,200; 2022: $960,600; 2021: $835,000; 2020: $753,500; 2019: $749,900",,2050110.00,B2Y,Dartmouth North,Halifax
"104 Pinecrest Dr, Dartmouth",Primary market,1965,6,6,,1,Renovation,2022,"2023: $434,900; 2022: $415,500; 2021: $373,500; 2020: $325,000; 2019: $298,900","2022: $1,550,000 (2 parcels in sale)",2050114.00,B3A,Dartmouth North,Halifax
"104 Roleika Dr, Dartmouth",Primary market,1970,47,47,,,,,"2023: $2,505,700; 2022: $2,431,400; 2021: $2,365,800; 2020: $2,561,200; 2019: $2,549,500",,2050106.01,B2X,Dartmouth East,Halifax
"1041 Tower Rd, Halifax",Primary market,1854,14,14,,,,,"2023: $2,267,400; 2022: $1,884,700; 2021: $1,832,300; 2020: $1,571,200; 2019: $1,511,200",,2050004.02,B3H,Peninsula South,Halifax
"1044 Tower Rd, Halifax",Primary market,1999,68,68,,,,,"2023: $10,804,700; 2022: $10,307,000; 2021: $10,598,000; 2020: $11,217,100; 2019: $10,674,900",,2050004.02,B3H,Peninsula South,Halifax
"105 Altavista Lane, Halifax",Primary market,2006,4,4,,,,,"2023: $1,172,400; 2022: $1,167,600; 2021: $1,164,300; 2020: $1,018,200; 2019: $999,300",,2050017.00,B3N,Mainland North,Halifax
"105 Baker Dr, Dartmouth",Primary market,2008,62,62,,,,,"2023: $11,485,000; 2022: $11,311,400; 2021: $10,762,000; 2020: $10,694,700; 2019: $10,234,500",,2050104.02 (2008-2020); 2050104.03 (2021-2022),B2W,Dartmouth East,Halifax
"105 Frederick Ave, Halifax",Primary market,1973,105,105,,,,,"2023: $6,519,500; 2022: $5,900,100; 2021: $5,921,000; 2020: $5,935,800; 2019: $5,031,000",,2050024.00,B3N,Mainland North,Halifax
"105 Pinecrest Dr, Dartmouth",Primary market,1970,6,6,,,,,"2023: $538,500; 2022: $446,900; 2021: $409,500; 2020: $353,100; 2019: $293,400","2021: $6,000,000 (7 parcels in sale); 2021: $5,526,118 (8 parcels in sale); 2020: $0 (7 parcels in sale)",2050114.00,B3A,Dartmouth North,Halifax
"1055 Lucknow St, Halifax",Primary market,1959,67,67,,,,,"2023: $10,063,800; 2022: $8,570,400; 2021: $8,288,500; 2020: $7,904,000; 2019: $7,734,200",,2050004.02,B3H,Peninsula South,Halifax
"1055 Tower Rd, Halifax",Primary market,1862,11,11,,,,,"2023: $2,223,900; 2022: $1,950,800; 2021: $1,003,700; 2020: $986,400; 2019: $982,400","2020: $1,225,000 (1 parcel in sale); 2019: $1,050,000 (1 parcel in sale)",2050004.02,B3H,Peninsula South,Halifax
"1058 Tower Rd, Halifax",Primary market,1900,5,5,,,,,"2023: $1,056,500; 2022: $974,500; 2021: $896,300; 2020: $867,800; 2019: $859,600","2019: $968,576 (1 parcel in sale)",2050004.02,B3H,Peninsula South,Halifax
"106 Greenpark Close, Halifax",Primary market,2006,102,102,,,,,"2023: $14,668,500; 2022: $12,632,900; 2021: $12,599,400; 2020: $11,883,400; 2019: $10,501,400",,2050025.03 (2006-2020); 2050025.05 (2021-2022),B3S,Mainland North,Halifax
"1061 Wellington St, Halifax",Primary market,1964,9,9,,,,,"2023: $2,443,000; 2022: $1,767,100; 2021: $1,740,500; 2020: $1,558,200; 2019: $1,459,100","2022: $2,635,000 (1 parcel in sale); 2020: $1,747,000 (1 parcel in sale)",2050004.02,B3H,Peninsula South,Halifax
"1065 Bland St, Halifax",Primary market,1960,13,13,,,,,"2023: $2,090,100; 2022: $1,839,300; 2021: $1,792,400; 2020: $1,627,800; 2019: $1,590,100",,2050004.02,B3H,Peninsula South,Halifax
"1066 Main Rd, Eastern Passage",Primary market,1964,5,5,,,,,"2023: $442,100; 2022: $412,400; 2021: $389,200; 2020: $339,700; 2019: $334,300","2019: $410,000 (1 parcel in sale)",2050121.05,B3G,Dartmouth South,Halifax
"1066 Tower Rd, Halifax",Primary market,1955,15,15,,,,,"2023: $2,469,900; 2022: $2,065,600; 2021: $1,913,600; 2020: $1,321,500; 2019: $1,213,300","2019: $2,039,424 (1 parcel in sale)",2050004.02,B3H,Peninsula South,Halifax
"107 Kearney Lake Rd, Halifax",Primary market,2004,4,4,,,,,"2023: $1,020,400; 2022: $910,300; 2021: $837,500; 2020: $823,100; 2019: $791,100",,2050027.00,B3M,Mainland North,Halifax
"107 Pinecrest Dr, Dartmouth",Primary market,1966,6,6,1,1,Renovation,2022,"2023: $419,000; 2022: $399,800; 2021: $366,300; 2020: $312,000; 2019: $296,500","2022: $1,550,000 (2 parcels in sale)",2050114.00,B3A,Dartmouth North,Halifax
"1070 Barrington St, Halifax",Primary market,2003,45,45,,,,,"2023: $11,105,200; 2022: $10,859,000; 2021: $12,395,500; 2020: $9,458,200; 2019: $8,669,400","2019: $12,500,000 (1 parcel in sale)",2050004.01,B3H,Peninsula South,Halifax
"1071 Wellington St, Halifax",Primary market,1977,14,14,,,,,"2023: $2,105,800; 2022: $1,881,000; 2021: $1,716,600; 2020: $1,576,700; 2019: $1,549,200",,2050004.02,B3H,Peninsula South,Halifax
"1075 Wellington St, Halifax",Primary market,2004,4,4,,,,,"2023: $1,200,100; 2022: $1,072,000; 2021: $1,006,000; 2020: $973,700; 2019: $964,500",,2050004.02,B3H,Peninsula South,Halifax
"1078 Tower Rd, Halifax",Primary market,1940,47,47,,,,,"2023: $8,556,300; 2022: $7,982,000; 2021: $8,122,800; 2020: $7,749,800; 2019: $7,666,700",,2050004.02,B3H,Peninsula South,Halifax
"108 Albro Lake Rd, Dartmouth",Primary market,1961,4,4,,,,,"2023: $465,700; 2022: $330,900; 2021: $314,300; 2020: $304,000; 2019: $298,400","2021: $465,000 (1 parcel in sale)",2050109.00,B3A,Dartmouth North,Halifax
"108 Cobequid Rd, Lower Sackville",Primary market,1976,19,19,,,,,"2023: $1,950,100; 2022: $1,812,800; 2021: $1,809,700; 2020: $1,649,200; 2019: $1,591,300",,2050131.04,B4C,Sackville,Halifax
"108 Old Sambro Rd, Halifax",Primary market,1976,35,35,,,,,"2023: $2,392,400; 2022: $1,790,400; 2021: $1,756,000; 2020: $1,567,900; 2019: $1,591,700",,2050015.00,B3R,Mainland South,Halifax
"108 Pinecrest Dr, Dartmouth",Primary market,,7,7,,,,,"2023: $488,800; 2022: $466,500; 2021: $427,400; 2020: $364,000; 2019: $346,000",,2050114.00,B3A,Dartmouth North,Halifax
"108 Pleasant St, Dartmouth",Primary market,1930,4,4,,,,,"2023: $419,500; 2022: $379,700; 2021: $351,800; 2020: $304,300; 2019: $299,500",,2050101.00,B2Y,Dartmouth South,Halifax
"108 Westgrove Pl, Halifax",Primary market,1976,24,24,,,,,"2023: $2,161,700; 2022: $1,469,700; 2021: $1,528,500; 2020: $1,448,200; 2019: $1,467,700",,2050025.03 (2006-2020); 2050025.04 (2021-2022),B3M,Mainland North,Halifax
"1080 Robie St, Halifax",Primary market,,5,5,,,,,"2023: $973,700; 2022: $974,500; 2021: $825,200; 2020: $867,800; 2019: $859,600",2020: $0 (8 parcels in sale),2050005.00,B3H,Peninsula South,Halifax
"1082 Waverley Rd, Waverley",Primary market,1960,4,4,,,,,"2023: $530,300; 2022: $460,900; 2021: $418,700; 2020: $362,100; 2019: $356,400",,2050122.03,B2R,Remainder of CMA,Halifax
"1083 Tower Rd, Halifax",Primary market,1920,8,8,,,,,"2023: $1,559,400; 2022: $1,355,100; 2021: $1,347,500; 2020: $1,213,300; 2019: $1,126,600",,2050004.02,B3H,Peninsula South,Halifax
"1083 Wellington St, Halifax",Primary market,2005,4,4,,,,,"2023: $1,200,100; 2022: $1,072,000; 2021: $1,006,000; 2020: $973,700; 2019: $964,500",,2050004.02,B3H,Peninsula South,Halifax
"109 Albro Lake Rd, Dartmouth",Primary market,1958,23,23,,,,,"2023: $993,400; 2022: $1,036,300; 2021: $894,500; 2020: $816,200; 2019: $724,100",,2050114.00,B3A,Dartmouth North,Halifax
"109 Greenpark Close, Halifax",Primary market,2002,94,94,,,,,"2023: $18,413,200; 2022: $15,328,900; 2021: $14,392,600; 2020: $13,253,500; 2019: $13,350,900",,2050025.03 (2006-2020); 2050025.05 (2021-2022),B3S,Mainland North,Halifax
"109 Pinecrest Dr, Dartmouth",Primary market,1965,6,6,,,,,"2023: $478,800; 2022: $453,700; 2021: $373,900; 2020: $328,100; 2019: $334,900","2021: $6,000,000 (7 parcels in sale); 2021: $5,526,118 (8 parcels in sale); 2020: $0 (7 parcels in sale)",2050114.00,B3A,Dartmouth North,Halifax
"1090 Waverley Rd, Waverley",Primary market,1960,4,4,,,,,"2023: $530,300; 2022: $460,900; 2021: $418,700; 2020: $362,100; 2019: $356,400",,2050122.03,B2R,Remainder of CMA,Halifax
"1094 Wellington St, Halifax",Primary market,1966,115,115,,2,Renovation,"2022, 2021","2023: $14,223,300; 2022: $13,510,500; 2021: $11,579,400; 2020: $9,997,900; 2019: $9,218,300",,2050004.02,B3H,Peninsula South,Halifax
"1095 Lucknow St, Halifax",Primary market,1990,12,12,,,,,"2023: $2,431,300; 2022: $2,127,500; 2021: $2,121,200; 2020: $1,880,300; 2019: $1,815,600",,2050004.02,B3H,Peninsula South,Halifax
"1095 Tower Rd, Halifax",Primary market,,4,4,,,,,"2023: $845,200; 2022: $779,600; 2021: $717,100; 2020: $694,200; 2019: $687,700",,2050004.02,B3H,Peninsula South,Halifax
"1097 Lucknow St, Halifax",Primary market,,14,14,,,,,"2023: $2,641,600; 2022: $2,264,400; 2021: $2,398,300; 2020: $2,213,100; 2019: $711,100",,2050004.02,B3H,Peninsula South,Halifax
"11 Alma Crescent, Halifax",Primary market,1978,20,20,,,,,"2023: $1,297,500; 2022: $1,258,300; 2021: $1,267,800; 2020: $1,243,100; 2019: $1,123,300",,2050024.00,B3N,Mainland North,Halifax
"11 Amin St, Bedford",Primary market,1995,49,49,,,,,"2023: $7,109,300; 2022: $6,116,100; 2021: $5,349,900; 2020: $4,955,400; 2019: $4,631,400",,2050123.04 (2006-2020); 2050123.07 (2021-2022),B4A,Bedford,Halifax
"11 Balcomes Dr, Halifax",Primary market,1967,12,12,,,,,"2023: $1,511,300; 2022: $1,167,700; 2021: $1,094,600; 2020: $1,045,500; 2019: $994,100",,2050016.00,B3N,Mainland South,Halifax
"11 Burke St, Dartmouth",Primary market,1965,5,5,,,,,"2023: $442,100; 2022: $412,400; 2021: $389,200; 2020: $339,700; 2019: $334,300","2020: $421,000 (1 parcel in sale)",2050114.00,B3A,Dartmouth North,Halifax
"11 Drysdale Rd, Halifax",Primary market,1972,24,24,4,,,,"2023: $1,651,700; 2022: $1,619,200; 2021: $1,534,800; 2020: $1,284,200; 2019: $1,348,300","2020: $4,350,000 (2 parcels in sale)",2050002.00,B3R,Mainland South,Halifax
"11 Farrell St, Dartmouth",Primary market,,7,7,,,,,"2023: $502,900; 2022: $420,700; 2021: $419,300; 2020: $364,400; 2019: $382,200",,2050112.00,B3A,Dartmouth North,Halifax
"11 Forest Hill Dr, Halifax",Primary market,1965,19,19,,1,Renovation,2021,"2023: $2,343,000; 2022: $2,066,900; 2021: $1,848,700; 2020: $1,849,000; 2019: $1,771,500","2021: $2,750,000 (1 parcel in sale)",2050026.02,B3M,Mainland North,Halifax
"11 Fourth St, Bedford",Primary market,1976,13,13,,,,,"2023: $1,159,300; 2022: $1,157,400; 2021: $945,600; 2020: $875,500; 2019: $842,700",,2050123.04 (2006-2020); 2050123.07 (2021-2022),B4A,Bedford,Halifax
"11 Garshan Rd, Dartmouth",Primary market,1985,48,48,,,,,"2023: $4,469,300; 2022: $4,195,600; 2021: $3,998,200; 2020: $3,314,800; 2019: $3,232,400",,2050106.01,B2X,Dartmouth East,Halifax
"11 Glenview Dr, Dartmouth",Primary market,1981,36,36,,,,,"2023: $2,556,000; 2022: $2,505,000; 2021: $2,307,100; 2020: $2,003,400; 2019: $1,920,300","2020: $3,400,000 (1 parcel in sale)",2050100.00,B2Y,Dartmouth South,Halifax
